ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,nome_municipio,sigla_uf,nome_regiao,situacao_meta_2024,distancia_meta_2024_pp
2024,4301750,Municipal,4.4,,14.05,Barão do Triunfo,RS,Sul,Sem dados para comparação,
2024,2406908,Municipal,42.86,7.94,14.05,Lucrécia,RN,Nordeste,Atingiu ou superou,34.92
2024,1718501,Municipal,50.29,8.25,14.48,Recursolândia,TO,Norte,Atingiu ou superou,42.04
2024,2919900,Municipal,12.5,8.39,14.66,Macururé,BA,Nordeste,Atingiu ou superou,4.109999999999999
2024,2414456,Municipal,10.95,,18.14,Triunfo Potiguar,RN,Nordeste,Sem dados para comparação,
2024,1716307,Municipal,37.96,11.05,18.14,Pau D'Arco,TO,Norte,Atingiu ou superou,26.91
2024,2406205,Municipal,11.65,,19.26,Lagoa d'Anta,RN,Nordeste,Sem dados para comparação,
2024,2205581,Municipal,44.87,11.95,19.26,Lagoa do Piauí,PI,Nordeste,Atingiu ou superou,32.92
2024,1718006,Municipal,37.89,12.49,19.92,Porto Alegre do Tocantins,TO,Norte,Atingiu ou superou,25.4
2024,3167509,Municipal,48.25,14.14,21.89,Simão Pereira,MG,Sudeste,Atingiu ou superou,34.11
2024,2408706,Municipal,14.29,,22.17,Paraú,RN,Nordeste,Sem dados para comparação,
2024,1715705,Municipal,31.27,14.38,22.17,Palmeirante,TO,Norte,Atingiu ou superou,16.89
2024,1717800,Municipal,44.56,15.03,22.93,Ponte Alta do Bom Jesus,TO,Norte,Atingiu ou superou,29.53
2024,1200435,Municipal,15.62,,23.62,Santa Rosa do Purus,AC,Norte,Sem dados para comparação,
2024,2804300,Municipal,22.01,15.64,23.62,Muribeca,SE,Nordeste,Atingiu ou superou,6.370000000000001
2024,2515005,Municipal,100.0,15.73,23.72,São Miguel de Taipu,PB,Nordeste,Atingiu ou superou,84.27
2024,2505238,Municipal,22.16,16.05,24.09,Cuité de Mamanguape,PB,Nordeste,Atingiu ou superou,6.109999999999999
2024,2907400,Municipal,25.71,16.24,24.3,Catolândia,BA,Nordeste,Atingiu ou superou,9.470000000000002
2024,2505808,Municipal,60.0,16.94,25.09,Duas Estradas,PB,Nordeste,Atingiu ou superou,43.06
2024,2400604,Municipal,21.43,17.02,25.17,Almino Afonso,RN,Nordeste,Atingiu ou superou,4.41
2024,2805901,Municipal,31.48,17.27,25.46,Riachuelo,SE,Nordeste,Atingiu ou superou,14.21
2024,1703073,Municipal,18.26,18.0,26.26,Barra do Ouro,TO,Norte,Atingiu ou superou,0.26000000000000156
2024,1707702,Municipal,12.63,18.04,26.3,Filadélfia,TO,Norte,Abaixo da meta,-5.409999999999998
2024,2514602,Municipal,29.62,18.06,26.33,São José do Bonfim,PB,Nordeste,Atingiu ou superou,11.560000000000002
2024,1709005,Municipal,38.49,18.74,27.07,Goiatins,TO,Norte,Atingiu ou superou,19.750000000000004
2024,5004809,Municipal,41.76,18.91,27.25,Japorã,MS,Centro-Oeste,Atingiu ou superou,22.849999999999998
2024,2205599,Municipal,62.96,18.93,27.27,Lagoa do Sítio,PI,Nordeste,Atingiu ou superou,44.03
2024,2101939,Municipal,87.88,19.1,27.45,Bernardo do Mearim,MA,Nordeste,Atingiu ou superou,68.78
2024,2111250,Municipal,56.16,19.22,27.58,São José dos Basílios,MA,Nordeste,Atingiu ou superou,36.94
2024,1301506,Municipal,19.3,,27.7,Envira,AM,Norte,Sem dados para comparação,
2024,2506608,Municipal,58.62,19.37,27.74,Ibiara,PB,Nordeste,Atingiu ou superou,39.25
2024,2907202,Municipal,20.93,19.44,27.82,Casa Nova,BA,Nordeste,Atingiu ou superou,1.4899999999999984
2024,1200328,Municipal,19.59,,28.13,Jordão,AC,Norte,Sem dados para comparação,
2024,2513158,Municipal,48.11,19.74,28.13,Santa Cecília,PB,Nordeste,Atingiu ou superou,28.37
2024,1304260,Municipal,11.25,19.75,28.14,Uarini,AM,Norte,Abaixo da meta,-8.5
2024,2202307,Municipal,36.45,20.06,28.48,Canto do Buriti,PI,Nordeste,Atingiu ou superou,16.390000000000004
2024,2404705,Municipal,43.03,20.1,28.51,Ipanguaçu,RN,Nordeste,Atingiu ou superou,22.93
2024,2208601,Municipal,47.93,20.78,29.23,Prata do Piauí,PI,Nordeste,Atingiu ou superou,27.15
2024,5214804,Municipal,84.21,20.79,29.25,Nova Aurora,GO,Centro-Oeste,Atingiu ou superou,63.419999999999995
2024,2515807,Municipal,85.71,21.09,29.56,Serra Redonda,PB,Nordeste,Atingiu ou superou,64.61999999999999
