id_municipio,nome_municipio,sigla_uf,nome_regiao,qtd_alunos,qtd_nao_alfabetizados,taxa_nao_alfabetizacao_amostra,escore_medio_modelo,proporcao_sinalizada
1100015,Alta Floresta D'Oeste,RO,Norte,25,8,0.32,0.3445632177031646,0.0
1100023,Ariquemes,RO,Norte,119,39,0.3277310924369748,0.34166084568708655,0.0
1100031,Cabixi,RO,Norte,6,1,0.16666666666666666,0.3220361942644563,0.0
1100049,Cacoal,RO,Norte,93,30,0.3225806451612903,0.3159840969348969,0.0
1100056,Cerejeiras,RO,Norte,27,10,0.37037037037037035,0.32045128851932947,0.0
1100064,Colorado do Oeste,RO,Norte,23,9,0.391304347826087,0.3071543635332551,0.0
1100072,Corumbiara,RO,Norte,11,1,0.09090909090909091,0.3552697001884638,1.0
1100080,Costa Marques,RO,Norte,28,10,0.35714285714285715,0.41293353731406857,1.0
1100098,Espigão D'Oeste,RO,Norte,39,9,0.23076923076923078,0.32973489805728146,0.0
1100106,Guajará-Mirim,RO,Norte,46,22,0.4782608695652174,0.3818847720011976,1.0
1100114,Jaru,RO,Norte,64,25,0.390625,0.3269823864414455,0.0
1100122,Ji-Paraná,RO,Norte,162,53,0.3271604938271605,0.3198029876550669,0.0
1100130,Machadinho D'Oeste,RO,Norte,40,12,0.3,0.38428574205780597,1.0
1100148,Nova Brasilândia D'Oeste,RO,Norte,15,4,0.26666666666666666,0.3491429260251805,0.0
1100155,Ouro Preto do Oeste,RO,Norte,35,9,0.2571428571428571,0.32859172578582807,0.0
1100189,Pimenta Bueno,RO,Norte,40,6,0.15,0.328398170594154,0.0
1100205,Porto Velho,RO,Norte,538,254,0.4721189591078067,0.3469555282580515,0.0
1100254,Presidente Médici,RO,Norte,25,9,0.36,0.3234559022530613,0.0
1100262,Rio Crespo,RO,Norte,5,0,0.0,0.3337757903531581,0.0
1100288,Rolim de Moura,RO,Norte,48,9,0.1875,0.3244888188916882,0.0
1100296,Santa Luzia D'Oeste,RO,Norte,6,1,0.16666666666666666,0.31372675572909714,0.0
1100304,Vilhena,RO,Norte,166,40,0.24096385542168675,0.325073847774746,0.0
1100320,São Miguel do Guaporé,RO,Norte,30,6,0.2,0.347334980665695,0.0
1100338,Nova Mamoré,RO,Norte,43,23,0.5348837209302325,0.3989801153043613,1.0
1100346,Alvorada D'Oeste,RO,Norte,15,2,0.13333333333333333,0.3246650522444968,0.0
1100379,Alto Alegre dos Parecis,RO,Norte,21,3,0.14285714285714285,0.37082503144578915,1.0
1100403,Alto Paraíso,RO,Norte,19,6,0.3157894736842105,0.3684545035306934,1.0
1100452,Buritis,RO,Norte,56,12,0.21428571428571427,0.3782110611831636,1.0
1100502,Novo Horizonte do Oeste,RO,Norte,9,2,0.2222222222222222,0.3240342464690156,0.0
1100601,Cacaulândia,RO,Norte,9,1,0.1111111111111111,0.3365882217415942,0.0
1100700,Campo Novo de Rondônia,RO,Norte,11,3,0.2727272727272727,0.39036456124636043,1.0
1100809,Candeias do Jamari,RO,Norte,35,20,0.5714285714285714,0.3517922578860949,1.0
1100908,Castanheiras,RO,Norte,7,3,0.42857142857142855,0.3130228847378307,0.0
1100924,Chupinguaia,RO,Norte,17,6,0.35294117647058826,0.33770407133708324,0.0
1100940,Cujubim,RO,Norte,30,9,0.3,0.3830697617333074,1.0
1101005,Governador Jorge Teixeira,RO,Norte,9,1,0.1111111111111111,0.3641144975465026,1.0
1101104,Itapuã do Oeste,RO,Norte,16,7,0.4375,0.3686171088291019,1.0
1101203,Ministro Andreazza,RO,Norte,5,1,0.2,0.33381386198264007,0.0
1101302,Mirante da Serra,RO,Norte,11,4,0.36363636363636365,0.3418171108071141,0.0
1101401,Monte Negro,RO,Norte,18,6,0.3333333333333333,0.3590515661037387,1.0
1101435,Nova União,RO,Norte,13,1,0.07692307692307693,0.36781153209632833,1.0
1101450,Parecis,RO,Norte,9,5,0.5555555555555556,0.3326158725881525,0.0
1101468,Pimenteiras do Oeste,RO,Norte,4,1,0.25,0.3448352814492861,0.0
1101476,Primavera de Rondônia,RO,Norte,8,2,0.25,0.33356790607844755,0.0
1101484,São Felipe D'Oeste,RO,Norte,5,2,0.4,0.3106637036064409,0.0
1101492,São Francisco do Guaporé,RO,Norte,32,11,0.34375,0.39404721248434726,1.0
1101500,Seringueiras,RO,Norte,19,4,0.21052631578947367,0.3967268512093741,1.0
1101559,Teixeirópolis,RO,Norte,6,1,0.16666666666666666,0.33104234824091194,0.0
1101609,Theobroma,RO,Norte,9,4,0.4444444444444444,0.3614370740843259,1.0
1101708,Urupá,RO,Norte,22,11,0.5,0.3496489990066155,0.0
1101757,Vale do Anari,RO,Norte,7,4,0.5714285714285714,0.3795672884820537,1.0
1101807,Vale do Paraíso,RO,Norte,7,5,0.7142857142857143,0.344774133444091,0.0
1200013,Acrelândia,AC,Norte,22,9,0.4090909090909091,0.5037739933734837,1.0
1200054,Assis Brasil,AC,Norte,12,4,0.3333333333333333,0.4779693857873384,1.0
1200104,Brasiléia,AC,Norte,32,17,0.53125,0.47338737042785684,1.0
1200138,Bujari,AC,Norte,21,18,0.8571428571428571,0.44422982073619444,1.0
1200179,Capixaba,AC,Norte,13,6,0.46153846153846156,0.49306488121505976,1.0
1200203,Cruzeiro do Sul,AC,Norte,100,41,0.41,0.43265356068040606,1.0
1200252,Epitaciolândia,AC,Norte,36,21,0.5833333333333334,0.4723877702366848,1.0
1200302,Feijó,AC,Norte,45,15,0.3333333333333333,0.40903660493346294,1.0
1200328,Jordão,AC,Norte,11,9,0.8181818181818182,0.5265155171551437,1.0
1200336,Mâncio Lima,AC,Norte,17,11,0.6470588235294118,0.44410725913184623,1.0
1200344,Manoel Urbano,AC,Norte,20,13,0.65,0.44168092668745923,1.0
1200351,Marechal Thaumaturgo,AC,Norte,7,2,0.2857142857142857,0.43385869728932136,1.0
1200385,Plácido de Castro,AC,Norte,18,11,0.6111111111111112,0.4686035469047338,1.0
1200393,Porto Walter,AC,Norte,4,2,0.5,0.40960337564988225,1.0
1200401,Rio Branco,AC,Norte,471,218,0.46284501061571126,0.4482466086055724,1.0
1200427,Rodrigues Alves,AC,Norte,13,6,0.46153846153846156,0.4353044215876851,1.0
1200435,Santa Rosa do Purus,AC,Norte,7,6,0.8571428571428571,0.5019499271855015,1.0
1200450,Senador Guiomard,AC,Norte,21,11,0.5238095238095238,0.45701715433257095,1.0
1200500,Sena Madureira,AC,Norte,55,22,0.4,0.4543322174123933,1.0
1200609,Tarauacá,AC,Norte,66,35,0.5303030303030303,0.4356584140126632,1.0
1200708,Xapuri,AC,Norte,16,5,0.3125,0.44427333190827406,1.0
1200807,Porto Acre,AC,Norte,12,7,0.5833333333333334,0.4866706700430988,1.0
1300029,Alvarães,AM,Norte,13,7,0.5384615384615384,0.4935702484048087,1.0
1300060,Amaturá,AM,Norte,11,5,0.45454545454545453,0.45598271047235583,1.0
1300086,Anamã,AM,Norte,9,4,0.4444444444444444,0.46635768225261803,1.0
1300102,Anori,AM,Norte,21,6,0.2857142857142857,0.476506649081107,1.0
1300144,Apuí,AM,Norte,30,10,0.3333333333333333,0.5055736858427166,1.0
1300201,Atalaia do Norte,AM,Norte,19,3,0.15789473684210525,0.4678913103215462,1.0
1300300,Autazes,AM,Norte,29,16,0.5517241379310345,0.4933911118049127,1.0
1300409,Barcelos,AM,Norte,25,10,0.4,0.4128947724208647,1.0
1300508,Barreirinha,AM,Norte,39,26,0.6666666666666666,0.5259840503321737,1.0
1300607,Benjamin Constant,AM,Norte,69,43,0.6231884057971014,0.45507287631294174,1.0
1300631,Beruri,AM,Norte,21,4,0.19047619047619047,0.46724379706800956,1.0
1300680,Boa Vista do Ramos,AM,Norte,19,14,0.7368421052631579,0.5594243836034034,1.0
1300706,Boca do Acre,AM,Norte,34,15,0.4411764705882353,0.41200108107036326,1.0
1300805,Borba,AM,Norte,34,19,0.5588235294117647,0.4975039430832197,1.0
1300839,Caapiranga,AM,Norte,20,10,0.5,0.46255583362484176,1.0
1300904,Canutama,AM,Norte,16,4,0.25,0.44900769617853725,1.0
1301001,Carauari,AM,Norte,34,17,0.5,0.431868933290186,1.0
1301100,Careiro,AM,Norte,15,6,0.4,0.5250370314691694,1.0
1301159,Careiro da Várzea,AM,Norte,14,11,0.7857142857142857,0.49147672139804105,1.0
1301209,Coari,AM,Norte,90,49,0.5444444444444444,0.4368258069167968,1.0
1301308,Codajás,AM,Norte,32,20,0.625,0.45862826523555433,1.0
1301407,Eirunepé,AM,Norte,42,25,0.5952380952380952,0.373919059120304,1.0
1301506,Envira,AM,Norte,24,10,0.4166666666666667,0.4272033992069931,1.0
1301605,Fonte Boa,AM,Norte,17,6,0.35294117647058826,0.4616623053434293,1.0
1301654,Guajará,AM,Norte,10,5,0.5,0.4632992728846162,1.0
1301704,Humaitá,AM,Norte,72,28,0.3888888888888889,0.4751985456260803,1.0
1301803,Ipixuna,AM,Norte,29,11,0.3793103448275862,0.43155470942074653,1.0
1301852,Iranduba,AM,Norte,86,57,0.6627906976744186,0.4890336519476986,1.0
